Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Senegal,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,070.01","1,197.92","1,334.04","1,275.42","1,331.45","1,377.21","1,405.76","1,482.59","1,480.26","1,552.61","1,554.25","1,602.40","1,614.78","1,626.54","1,611.58","1,699.60","1,719.10","1,753.36","1,835.39","1,927.63","1,999.47","2,080.79","2,064.23","2,165.89","2,269.64","2,379.57","2,444.33","2,513.64","2,587.12","2,606.84","2,652.86","2,669.52","2,739.42","2,742.42","2,830.70","2,971.35","3,075.93","3,203.90","3,388.94","3,503.62","3,478.48","3,624.87","3,824.00",2018
Sierra Leone,"Gross domestic product, current prices",U.S. dollars,Billions,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.119,4.204,4.42,4.445,2018
Sierra Leone,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,783.607,852.925,902.822,902.229,945.258,891.643,890.89,914.679,946.185,"1,008.22","1,046.73",989.026,914.185,940.412,998.534,918.509,702.07,585.439,580.883,531.596,549.134,639.499,786.269,835.952,875.873,908.461,944.762,"1,020.25","1,070.52","1,088.37","1,134.09","1,203.17","1,405.48","1,746.55","1,787.66","1,599.22","1,678.27","1,633.73","1,694.33","1,781.09","1,724.90","1,771.44","1,836.47",2017
Somalia,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.721,4.944,4.92,5.367,5.641,2019
Somalia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,848.473,731.947,778.269,869.969,911.344,916.435,937.526,954.263,924.532,941.38,965.495,2019
South Africa,"Gross domestic product, current prices",U.S. dollars,Billions,82.981,85.463,78.415,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.701,152.611,137.686,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135,351.354,302.114,329.529,344.139,2020
South Africa,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"4,642.23","5,219.22","5,379.79","5,347.49","5,678.34","5,651.86","5,638.44","5,774.31","6,098.07","6,350.02","6,420.37","6,413.04","6,259.59","6,328.13","6,517.64","6,717.54","7,003.30","7,191.66","7,199.52","7,365.84","7,726.31","7,965.56","8,274.19","8,592.78","9,127.72","9,794.84","10,527.84","11,240.98","11,657.63","11,394.22","11,695.97","12,143.17","12,035.40","12,436.19","12,514.29","12,547.66","12,581.66","12,681.72","12,898.43","12,961.70","12,032.41","12,441.71","12,779.14",2020
South Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,4.143,4.074,4.461,5.345,2018
South Sudan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,100.98","1,341.08","1,577.53","1,508.25","1,361.59","1,028.29",888.762,865.686,862.085,791.308,824.717,872.666,2008
Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.536,64.883,47.837,35.891,33.564,34.37,35.827,35.917,2019
Sudan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,081.59","1,222.11","1,312.96","1,306.81","1,220.74","1,217.41","1,328.10","1,409.43","1,492.86","1,534.45","1,508.59","1,620.10","1,698.27","1,734.89","1,782.25","2,051.71","2,153.38","2,275.47","2,440.58","2,529.74","2,740.05","3,026.59","3,177.46","3,347.85","3,522.96","3,748.03","4,009.42","4,242.93","4,378.02","4,180.60","4,281.18","5,197.99","3,929.48","3,934.82","4,509.18","4,438.22","5,568.78","4,602.32","4,472.92","4,310.32","4,097.68","4,082.39","4,114.89",2011
Tanzania,"Gross domestic product, current prices",U.S. dollars,Billions,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,63.244,65.919,70.068,2019
Tanzania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,580.725,619.387,641.387,661.662,687.643,719.66,759.349,799.829,838.918,877.473,943.82,963.363,957.82,959.39,963.933,989.839,"1,026.24","1,054.81","1,081.85","1,123.91","1,176.32","1,241.36","1,315.04","1,392.18","1,498.61","1,612.98","1,690.94","1,830.90","1,916.21","1,977.12","2,066.29","2,210.07","2,099.43","2,194.77","2,243.35","2,348.07","2,478.81","2,527.81","2,687.36","2,840.65","2,820.60","2,863.00","2,974.32",2012
Togo,"Gross domestic product, current prices",U.S. dollars,Billions,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.117,7.221,7.495,8.627,9.361,2016
Togo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,998.37,"1,021.23","1,007.23",956.184,"1,010.92","1,044.37","1,064.13","1,030.07","1,139.65","1,199.01","1,283.82","1,289.12","1,249.40","1,048.20","1,192.60","1,420.93","1,351.75","1,383.72","1,324.38","1,334.98","1,312.07","1,314.95","1,351.03","1,431.78","1,419.40","1,359.49","1,400.02","1,382.88","1,427.69","1,477.61","1,543.81","1,632.63","1,655.51","1,720.57","1,792.30","1,885.30","1,954.22","2,012.26","2,110.65","2,210.98","2,198.99","2,261.44","2,358.30",2016
Tunisia,"Gross domestic product, current prices",U.S. dollars,Billions,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.172,41.801,39.627,40.139,39.169,39.553,44.265,46.527,2019
Tunisia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,134.38","2,397.78","2,473.43","2,627.95","2,845.77","3,003.09","2,906.01","3,110.91","3,168.98","3,318.39","3,575.64","3,765.00","4,069.51","4,180.84","4,340.18","4,471.00","4,790.29","5,081.54","5,328.34","5,668.26","5,984.62","6,291.93","6,424.39","6,799.46","7,360.22","7,788.09","8,367.00","9,077.48","9,544.94","9,802.57","10,151.06","10,049.58","10,179.90","10,174.50","10,370.41","10,123.89","10,269.11","10,467.26","10,889.63","11,074.95","10,119.77","10,594.08","10,996.17",2019
Uganda,"Gross domestic product, current prices",U.S. dollars,Billions,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.445,29.557,31.384,34.095,37.788,37.613,41.271,44.83,2019
Uganda,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,526.047,580.338,647.005,683.959,665.808,644.285,640.487,658.189,711.161,758.053,808.093,821.106,861.026,909.408,968.414,"1,046.09","1,098.95","1,133.09","1,178.69","1,250.30","1,285.59","1,384.12","1,456.68","1,520.30","1,596.28","1,751.82","1,868.09","2,003.31","2,178.55","2,294.27","2,415.28","2,569.51","2,372.96","2,395.13","2,440.64","2,388.16","2,355.78","2,382.08","2,508.29","2,689.09","2,574.00","2,705.95","2,820.69",2016
Zambia,"Gross domestic product, current prices",U.S. dollars,Billions,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.529,18.955,19.083,2019
Zambia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,322.90","1,494.90","1,493.10","1,487.15","1,469.16","1,489.28","1,500.05","1,514.69","1,663.30","1,615.75","1,615.72","1,609.93","1,631.77","1,622.10","1,393.80","1,426.92","1,503.12","1,544.76","1,514.25","1,564.67","1,618.65","1,697.83","1,757.26","1,866.29","1,998.83","2,151.86","2,326.91","2,516.44","2,685.55","2,869.54","3,107.83","3,249.60","3,348.12","3,503.86","3,467.11","3,360.02","3,332.67","3,407.31","3,520.63","3,526.40","3,341.99","3,322.25","3,332.68",2019
Zimbabwe,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,21.093,19.273,21.038,26.085,29.363,2019
Zimbabwe,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,443.68","2,458.12","2,413.12","2,461.17","2,313.64","1,972.85","1,884.36","1,783.80","1,745.86","1,727.48","1,463.90","1,569.91","1,883.86","2,175.20","2,385.76","2,545.64","2,576.28","2,642.32","2,700.82","2,965.87","3,099.31","2,869.35","2,621.82","2,697.70","2,810.25",2017
